Title,Surname,Status
Viscount Margesson[415],Margesson,extant
Viscountess Daventry[416],FitzRoy,extant
Viscount Wavell[417],Wavell,extinct 24 December 1953
Viscount Templewood[418],Hoare,extinct 7 May 1959
Viscount Ruthven of Canberra[419],Hore-Ruthven,extant
Viscount Portal[420],Portal,extinct 6 May 1949
Viscount Gwynedd[421],Lloyd-George,extant
Viscount Addison[422],Addison,extant
Viscount Lambert[423],Lambert,extinct 22 October 1999
Viscount Kemsley[424],Berry,extant
Viscount Marchwood[425],Penny,extant
Viscount Southwood[426],Elias,extinct 10 April 1946
Viscount Cunningham of Hyndhope[426],Cunningham,extinct 12 June 1963
Viscount Portal of Hungerford[427],Portal,extinct 22 April 1971
Viscount Alanbrooke[427],Brooke,extinct 10 January 2018
Viscount Montgomery of Alamein[427],Montgomery,extant
Viscount Gort[428],Vereker,extinct 31 March 1946
Viscount Alexander of Tunis[429],Alexander,extant
Viscount Mountbatten of Burma[430],Mountbatten,extant
Viscount Hall[431],Hall,extinct 24 July 1985
Viscount Jowitt[432],Jowitt,extinct 16 August 1957
Viscount Bruce of Melbourne[433],Bruce,extinct 25 August 1967
Viscount Keren[434],Wavell,extinct 24 December 1953
Viscount Hyndley[435],Hindley,extinct 1963
Viscount Alexander of Hillsborough[436],Alexander,extinct 1965
Viscount Ruffside[437],Brown,extinct 5 May 1958
Viscount Stevenage[438],Jowitt,extinct 16 August 1957
Viscount Hudson[439],Hudson,extinct 28 August 1963
Viscount Bracken[439],Bracken,extinct 8 August 1958
Viscount Waverley[440],Anderson,extant
Viscount Thurso[441],Sinclair,extant
Viscount Brookeborough[442],Brooke,extant
Viscount Norwich[443],Cooper,extant
Viscount Woolton[444],Marquis,extant
Viscount Leathers[445],Leathers,extant
Viscount Soulbury[446],Ramsbotham,extant
Viscount Chandos[447],Lyttelton,extant
Viscount Simonds[448],Simonds,extinct 28 June 1971
Viscount Kilmuir[449],Maxwell-Fyfe,extinct 27 January 1967
Viscount Malvern[450],Huggins,extant
Viscount Prestwood[451],Attlee,extant
Viscount Walberton[452],Marquis,extant
Viscount De L'Isle[453],Sidney,extant
Viscount Crookshank[453],Crookshank,extinct 17 October 1961
Viscount Ingleby[454],Peake,extinct 2008
Viscount Cilcennin[455],Thomas,extinct 13 July 1960
Viscount Cherwell[456],Lindemann,extinct 3 July 1957
Viscount Monckton of Brenchley[457],Monckton,extant
Viscount Tenby[457],Lloyd-George,extant
Viscount Mackintosh of Halifax[458],Mackintosh,extant
Viscount Dunrossil[459],Morrison,extant
Viscount Stuart of Findhorn[460],Stuart,extant
Viscount Rochdale[461],Kemp,extant
Viscount Slim[462],Slim,extant
Viscount Head[463],Head,extant
Viscount Amory[464],Amory,extinct 19 January 1981
Viscount Boyd of Merton[465],Lennox-Boyd,extant
Viscount Ward of Witley[466],Ward,extinct 15 June 1988
Viscount Eden[467],Eden,extinct 17 August 1985
Viscount Linley[468],Armstrong-Jones,extant
Viscount Radcliffe[469],Radcliffe,extinct 1 April 1977
Viscount Mills[470],Mills,extant
Viscount Blakenham[471],Hare,extant
Viscount Eccles[472],Eccles,extant
Viscount Watkinson[473],Watkinson,extinct 19 December 1995
Viscount Muirshiel[474],Maclay,extinct 17 August 1992
Viscount Dilhorne[475],Manningham-Buller,extant
Viscount Whitelaw[476],Whitelaw,extinct 1 July 1999
Viscount Tonypandy[477],Thomas,extinct 22 September 1997
Viscount Macmillan of Ovenden[478],Macmillan,extant
Viscount Severn[479],Mountbatten-Windsor,extant
